date_key,date,year,quarter,month,month_name,year_month,day_of_week,is_weekend
20251213,2025-12-13,2025,4,12,December,2025-12,Saturday,True
20251214,2025-12-14,2025,4,12,December,2025-12,Sunday,True
20251215,2025-12-15,2025,4,12,December,2025-12,Monday,False
20251216,2025-12-16,2025,4,12,December,2025-12,Tuesday,False
20251217,2025-12-17,2025,4,12,December,2025-12,Wednesday,False
20251218,2025-12-18,2025,4,12,December,2025-12,Thursday,False
20251219,2025-12-19,2025,4,12,December,2025-12,Friday,False
20251220,2025-12-20,2025,4,12,December,2025-12,Saturday,True
20251221,2025-12-21,2025,4,12,December,2025-12,Sunday,True
20251222,2025-12-22,2025,4,12,December,2025-12,Monday,False
20251223,2025-12-23,2025,4,12,December,2025-12,Tuesday,False
20251224,2025-12-24,2025,4,12,December,2025-12,Wednesday,False
20251225,2025-12-25,2025,4,12,December,2025-12,Thursday,False
20251226,2025-12-26,2025,4,12,December,2025-12,Friday,False
20251227,2025-12-27,2025,4,12,December,2025-12,Saturday,True
20251228,2025-12-28,2025,4,12,December,2025-12,Sunday,True
20251229,2025-12-29,2025,4,12,December,2025-12,Monday,False
20251230,2025-12-30,2025,4,12,December,2025-12,Tuesday,False
20251231,2025-12-31,2025,4,12,December,2025-12,Wednesday,False
20260101,2026-01-01,2026,1,1,January,2026-01,Thursday,False
20260102,2026-01-02,2026,1,1,January,2026-01,Friday,False
20260103,2026-01-03,2026,1,1,January,2026-01,Saturday,True
20260104,2026-01-04,2026,1,1,January,2026-01,Sunday,True
20260105,2026-01-05,2026,1,1,January,2026-01,Monday,False
20260106,2026-01-06,2026,1,1,January,2026-01,Tuesday,False
20260107,2026-01-07,2026,1,1,January,2026-01,Wednesday,False
20260108,2026-01-08,2026,1,1,January,2026-01,Thursday,False
20260109,2026-01-09,2026,1,1,January,2026-01,Friday,False
20260110,2026-01-10,2026,1,1,January,2026-01,Saturday,True
20260111,2026-01-11,2026,1,1,January,2026-01,Sunday,True
20260112,2026-01-12,2026,1,1,January,2026-01,Monday,False
20260113,2026-01-13,2026,1,1,January,2026-01,Tuesday,False
20260114,2026-01-14,2026,1,1,January,2026-01,Wednesday,False
20260115,2026-01-15,2026,1,1,January,2026-01,Thursday,False
20260116,2026-01-16,2026,1,1,January,2026-01,Friday,False
20260117,2026-01-17,2026,1,1,January,2026-01,Saturday,True
20260118,2026-01-18,2026,1,1,January,2026-01,Sunday,True
20260119,2026-01-19,2026,1,1,January,2026-01,Monday,False
20260120,2026-01-20,2026,1,1,January,2026-01,Tuesday,False
20260121,2026-01-21,2026,1,1,January,2026-01,Wednesday,False
20260122,2026-01-22,2026,1,1,January,2026-01,Thursday,False
20260123,2026-01-23,2026,1,1,January,2026-01,Friday,False
20260124,2026-01-24,2026,1,1,January,2026-01,Saturday,True
20260125,2026-01-25,2026,1,1,January,2026-01,Sunday,True
20260126,2026-01-26,2026,1,1,January,2026-01,Monday,False
20260127,2026-01-27,2026,1,1,January,2026-01,Tuesday,False
20260128,2026-01-28,2026,1,1,January,2026-01,Wednesday,False
20260129,2026-01-29,2026,1,1,January,2026-01,Thursday,False
20260130,2026-01-30,2026,1,1,January,2026-01,Friday,False
20260131,2026-01-31,2026,1,1,January,2026-01,Saturday,True
20260201,2026-02-01,2026,1,2,February,2026-02,Sunday,True
20260202,2026-02-02,2026,1,2,February,2026-02,Monday,False
20260203,2026-02-03,2026,1,2,February,2026-02,Tuesday,False
20260204,2026-02-04,2026,1,2,February,2026-02,Wednesday,False
20260205,2026-02-05,2026,1,2,February,2026-02,Thursday,False
20260206,2026-02-06,2026,1,2,February,2026-02,Friday,False
20260207,2026-02-07,2026,1,2,February,2026-02,Saturday,True
20260208,2026-02-08,2026,1,2,February,2026-02,Sunday,True
20260209,2026-02-09,2026,1,2,February,2026-02,Monday,False
20260210,2026-02-10,2026,1,2,February,2026-02,Tuesday,False
20260211,2026-02-11,2026,1,2,February,2026-02,Wednesday,False
20260212,2026-02-12,2026,1,2,February,2026-02,Thursday,False
20260213,2026-02-13,2026,1,2,February,2026-02,Friday,False
20260214,2026-02-14,2026,1,2,February,2026-02,Saturday,True
20260215,2026-02-15,2026,1,2,February,2026-02,Sunday,True
20260216,2026-02-16,2026,1,2,February,2026-02,Monday,False
20260217,2026-02-17,2026,1,2,February,2026-02,Tuesday,False
20260218,2026-02-18,2026,1,2,February,2026-02,Wednesday,False
20260219,2026-02-19,2026,1,2,February,2026-02,Thursday,False
20260220,2026-02-20,2026,1,2,February,2026-02,Friday,False
20260221,2026-02-21,2026,1,2,February,2026-02,Saturday,True
20260222,2026-02-22,2026,1,2,February,2026-02,Sunday,True
20260223,2026-02-23,2026,1,2,February,2026-02,Monday,False
20260224,2026-02-24,2026,1,2,February,2026-02,Tuesday,False
20260225,2026-02-25,2026,1,2,February,2026-02,Wednesday,False
20260226,2026-02-26,2026,1,2,February,2026-02,Thursday,False
20260227,2026-02-27,2026,1,2,February,2026-02,Friday,False
20260228,2026-02-28,2026,1,2,February,2026-02,Saturday,True
20260301,2026-03-01,2026,1,3,March,2026-03,Sunday,True
20260302,2026-03-02,2026,1,3,March,2026-03,Monday,False
20260303,2026-03-03,2026,1,3,March,2026-03,Tuesday,False
20260304,2026-03-04,2026,1,3,March,2026-03,Wednesday,False
20260305,2026-03-05,2026,1,3,March,2026-03,Thursday,False
20260306,2026-03-06,2026,1,3,March,2026-03,Friday,False
20260307,2026-03-07,2026,1,3,March,2026-03,Saturday,True
20260308,2026-03-08,2026,1,3,March,2026-03,Sunday,True
20260309,2026-03-09,2026,1,3,March,2026-03,Monday,False
20260310,2026-03-10,2026,1,3,March,2026-03,Tuesday,False
20260311,2026-03-11,2026,1,3,March,2026-03,Wednesday,False
20260312,2026-03-12,2026,1,3,March,2026-03,Thursday,False
20260313,2026-03-13,2026,1,3,March,2026-03,Friday,False
20260314,2026-03-14,2026,1,3,March,2026-03,Saturday,True
20260315,2026-03-15,2026,1,3,March,2026-03,Sunday,True
20260316,2026-03-16,2026,1,3,March,2026-03,Monday,False
20260317,2026-03-17,2026,1,3,March,2026-03,Tuesday,False
20260318,2026-03-18,2026,1,3,March,2026-03,Wednesday,False
20260319,2026-03-19,2026,1,3,March,2026-03,Thursday,False
20260320,2026-03-20,2026,1,3,March,2026-03,Friday,False
20260321,2026-03-21,2026,1,3,March,2026-03,Saturday,True
20260322,2026-03-22,2026,1,3,March,2026-03,Sunday,True
20260323,2026-03-23,2026,1,3,March,2026-03,Monday,False
20260324,2026-03-24,2026,1,3,March,2026-03,Tuesday,False
20260325,2026-03-25,2026,1,3,March,2026-03,Wednesday,False
20260326,2026-03-26,2026,1,3,March,2026-03,Thursday,False
20260327,2026-03-27,2026,1,3,March,2026-03,Friday,False
20260328,2026-03-28,2026,1,3,March,2026-03,Saturday,True
20260329,2026-03-29,2026,1,3,March,2026-03,Sunday,True
20260330,2026-03-30,2026,1,3,March,2026-03,Monday,False
20260331,2026-03-31,2026,1,3,March,2026-03,Tuesday,False
20260401,2026-04-01,2026,2,4,April,2026-04,Wednesday,False
20260402,2026-04-02,2026,2,4,April,2026-04,Thursday,False
20260403,2026-04-03,2026,2,4,April,2026-04,Friday,False
20260404,2026-04-04,2026,2,4,April,2026-04,Saturday,True
20260405,2026-04-05,2026,2,4,April,2026-04,Sunday,True
20260406,2026-04-06,2026,2,4,April,2026-04,Monday,False
20260407,2026-04-07,2026,2,4,April,2026-04,Tuesday,False
20260408,2026-04-08,2026,2,4,April,2026-04,Wednesday,False
20260409,2026-04-09,2026,2,4,April,2026-04,Thursday,False
20260410,2026-04-10,2026,2,4,April,2026-04,Friday,False
20260411,2026-04-11,2026,2,4,April,2026-04,Saturday,True
20260412,2026-04-12,2026,2,4,April,2026-04,Sunday,True
20260413,2026-04-13,2026,2,4,April,2026-04,Monday,False
20260414,2026-04-14,2026,2,4,April,2026-04,Tuesday,False
20260415,2026-04-15,2026,2,4,April,2026-04,Wednesday,False
20260416,2026-04-16,2026,2,4,April,2026-04,Thursday,False
20260417,2026-04-17,2026,2,4,April,2026-04,Friday,False
20260418,2026-04-18,2026,2,4,April,2026-04,Saturday,True
20260419,2026-04-19,2026,2,4,April,2026-04,Sunday,True
20260420,2026-04-20,2026,2,4,April,2026-04,Monday,False
20260421,2026-04-21,2026,2,4,April,2026-04,Tuesday,False
20260422,2026-04-22,2026,2,4,April,2026-04,Wednesday,False
20260423,2026-04-23,2026,2,4,April,2026-04,Thursday,False
20260424,2026-04-24,2026,2,4,April,2026-04,Friday,False
20260425,2026-04-25,2026,2,4,April,2026-04,Saturday,True
20260426,2026-04-26,2026,2,4,April,2026-04,Sunday,True
20260427,2026-04-27,2026,2,4,April,2026-04,Monday,False
20260428,2026-04-28,2026,2,4,April,2026-04,Tuesday,False
20260429,2026-04-29,2026,2,4,April,2026-04,Wednesday,False
20260430,2026-04-30,2026,2,4,April,2026-04,Thursday,False
20260501,2026-05-01,2026,2,5,May,2026-05,Friday,False
20260502,2026-05-02,2026,2,5,May,2026-05,Saturday,True
20260503,2026-05-03,2026,2,5,May,2026-05,Sunday,True
20260504,2026-05-04,2026,2,5,May,2026-05,Monday,False
20260505,2026-05-05,2026,2,5,May,2026-05,Tuesday,False
20260506,2026-05-06,2026,2,5,May,2026-05,Wednesday,False
20260507,2026-05-07,2026,2,5,May,2026-05,Thursday,False
20260508,2026-05-08,2026,2,5,May,2026-05,Friday,False
20260509,2026-05-09,2026,2,5,May,2026-05,Saturday,True
20260510,2026-05-10,2026,2,5,May,2026-05,Sunday,True
20260511,2026-05-11,2026,2,5,May,2026-05,Monday,False
20260512,2026-05-12,2026,2,5,May,2026-05,Tuesday,False
20260513,2026-05-13,2026,2,5,May,2026-05,Wednesday,False
20260514,2026-05-14,2026,2,5,May,2026-05,Thursday,False
20260515,2026-05-15,2026,2,5,May,2026-05,Friday,False
20260516,2026-05-16,2026,2,5,May,2026-05,Saturday,True
20260517,2026-05-17,2026,2,5,May,2026-05,Sunday,True
20260518,2026-05-18,2026,2,5,May,2026-05,Monday,False
20260519,2026-05-19,2026,2,5,May,2026-05,Tuesday,False
20260520,2026-05-20,2026,2,5,May,2026-05,Wednesday,False
20260521,2026-05-21,2026,2,5,May,2026-05,Thursday,False
20260522,2026-05-22,2026,2,5,May,2026-05,Friday,False
20260523,2026-05-23,2026,2,5,May,2026-05,Saturday,True
20260524,2026-05-24,2026,2,5,May,2026-05,Sunday,True
20260525,2026-05-25,2026,2,5,May,2026-05,Monday,False
20260526,2026-05-26,2026,2,5,May,2026-05,Tuesday,False
20260527,2026-05-27,2026,2,5,May,2026-05,Wednesday,False
20260528,2026-05-28,2026,2,5,May,2026-05,Thursday,False
20260529,2026-05-29,2026,2,5,May,2026-05,Friday,False
20260530,2026-05-30,2026,2,5,May,2026-05,Saturday,True
20260531,2026-05-31,2026,2,5,May,2026-05,Sunday,True
20260601,2026-06-01,2026,2,6,June,2026-06,Monday,False
20260602,2026-06-02,2026,2,6,June,2026-06,Tuesday,False
20260603,2026-06-03,2026,2,6,June,2026-06,Wednesday,False
20260604,2026-06-04,2026,2,6,June,2026-06,Thursday,False
20260605,2026-06-05,2026,2,6,June,2026-06,Friday,False
20260606,2026-06-06,2026,2,6,June,2026-06,Saturday,True
20260607,2026-06-07,2026,2,6,June,2026-06,Sunday,True
20260608,2026-06-08,2026,2,6,June,2026-06,Monday,False
20260609,2026-06-09,2026,2,6,June,2026-06,Tuesday,False
20260610,2026-06-10,2026,2,6,June,2026-06,Wednesday,False
20260611,2026-06-11,2026,2,6,June,2026-06,Thursday,False
20260612,2026-06-12,2026,2,6,June,2026-06,Friday,False
20260613,2026-06-13,2026,2,6,June,2026-06,Saturday,True
20260614,2026-06-14,2026,2,6,June,2026-06,Sunday,True
20260615,2026-06-15,2026,2,6,June,2026-06,Monday,False
20260616,2026-06-16,2026,2,6,June,2026-06,Tuesday,False
20260617,2026-06-17,2026,2,6,June,2026-06,Wednesday,False
20260618,2026-06-18,2026,2,6,June,2026-06,Thursday,False
20260619,2026-06-19,2026,2,6,June,2026-06,Friday,False
20260620,2026-06-20,2026,2,6,June,2026-06,Saturday,True
20260621,2026-06-21,2026,2,6,June,2026-06,Sunday,True
20260622,2026-06-22,2026,2,6,June,2026-06,Monday,False
20260623,2026-06-23,2026,2,6,June,2026-06,Tuesday,False
20260624,2026-06-24,2026,2,6,June,2026-06,Wednesday,False
20260625,2026-06-25,2026,2,6,June,2026-06,Thursday,False
20260626,2026-06-26,2026,2,6,June,2026-06,Friday,False
20260627,2026-06-27,2026,2,6,June,2026-06,Saturday,True
20260628,2026-06-28,2026,2,6,June,2026-06,Sunday,True
20260629,2026-06-29,2026,2,6,June,2026-06,Monday,False
20260630,2026-06-30,2026,2,6,June,2026-06,Tuesday,False
20260701,2026-07-01,2026,3,7,July,2026-07,Wednesday,False
20260702,2026-07-02,2026,3,7,July,2026-07,Thursday,False
20260703,2026-07-03,2026,3,7,July,2026-07,Friday,False
20260704,2026-07-04,2026,3,7,July,2026-07,Saturday,True
20260705,2026-07-05,2026,3,7,July,2026-07,Sunday,True
20260706,2026-07-06,2026,3,7,July,2026-07,Monday,False
20260707,2026-07-07,2026,3,7,July,2026-07,Tuesday,False
20260708,2026-07-08,2026,3,7,July,2026-07,Wednesday,False
20260709,2026-07-09,2026,3,7,July,2026-07,Thursday,False
20260710,2026-07-10,2026,3,7,July,2026-07,Friday,False
20260711,2026-07-11,2026,3,7,July,2026-07,Saturday,True
20260712,2026-07-12,2026,3,7,July,2026-07,Sunday,True
20260713,2026-07-13,2026,3,7,July,2026-07,Monday,False
20260714,2026-07-14,2026,3,7,July,2026-07,Tuesday,False
20260715,2026-07-15,2026,3,7,July,2026-07,Wednesday,False
20260716,2026-07-16,2026,3,7,July,2026-07,Thursday,False
20260717,2026-07-17,2026,3,7,July,2026-07,Friday,False
20260718,2026-07-18,2026,3,7,July,2026-07,Saturday,True
20260719,2026-07-19,2026,3,7,July,2026-07,Sunday,True
20260720,2026-07-20,2026,3,7,July,2026-07,Monday,False
20260721,2026-07-21,2026,3,7,July,2026-07,Tuesday,False
20260722,2026-07-22,2026,3,7,July,2026-07,Wednesday,False
20260723,2026-07-23,2026,3,7,July,2026-07,Thursday,False
20260724,2026-07-24,2026,3,7,July,2026-07,Friday,False
20260725,2026-07-25,2026,3,7,July,2026-07,Saturday,True
