product_id,date,daily_units,moving_avg_7d
P0001,2025-10-02,56,56.86
P0001,2025-10-03,61,56.14
P0001,2025-10-04,53,56.14
P0001,2025-10-05,72,56.71
P0001,2025-10-06,44,54.57
P0001,2025-10-07,55,55.43
P0001,2025-10-08,46,55.29
P0001,2025-10-09,39,52.86
P0001,2025-10-10,66,53.57
P0001,2025-10-11,55,53.86
P0001,2025-10-12,52,51.0
P0001,2025-10-13,44,51.0
P0001,2025-10-14,51,50.43
P0001,2025-10-15,51,51.14
P0001,2025-10-16,47,52.29
P0001,2025-10-17,54,50.57
P0001,2025-10-18,57,50.86
P0001,2025-10-19,74,54.0
P0001,2025-10-20,46,54.29
P0001,2025-10-21,39,52.57
P0001,2025-10-22,56,53.29
P0001,2025-10-23,46,53.14
P0001,2025-10-24,57,53.57
P0001,2025-10-25,72,55.71
P0001,2025-10-26,57,53.29
P0001,2025-10-27,60,55.29
P0001,2025-10-28,62,58.57
P0001,2025-10-29,57,58.71
P0001,2025-10-30,40,57.86
P0001,2025-10-31,62,58.57
P0001,2025-11-01,107,63.57
P0001,2025-11-02,95,69.0
P0001,2025-11-03,67,70.0
P0001,2025-11-04,90,74.0
P0001,2025-11-05,62,74.71
P0001,2025-11-06,102,83.57
P0001,2025-11-07,91,87.71
P0001,2025-11-08,85,84.57
P0001,2025-11-09,96,84.71
P0001,2025-11-10,73,85.57
P0001,2025-11-11,71,82.86
P0001,2025-11-12,74,84.57
P0001,2025-11-13,86,82.29
P0001,2025-11-14,93,82.57
P0001,2025-11-15,100,84.71
P0001,2025-11-16,99,85.14
P0001,2025-11-17,70,84.71
P0001,2025-11-18,105,89.57
P0001,2025-11-19,73,89.43
P0001,2025-11-20,85,89.29
P0001,2025-11-21,79,87.29
P0001,2025-11-22,94,86.43
P0001,2025-11-23,97,86.14
P0001,2025-11-24,89,88.86
P0001,2025-11-25,79,85.14
P0001,2025-11-26,82,86.43
P0001,2025-11-27,75,85.0
P0001,2025-11-28,114,90.0
P0001,2025-11-29,104,91.43
P0001,2025-11-30,101,92.0
P0001,2025-12-01,69,89.14
P0001,2025-12-02,80,89.29
P0001,2025-12-03,78,88.71
P0001,2025-12-04,76,88.86
P0001,2025-12-05,120,89.71
P0001,2025-12-06,80,86.29
P0001,2025-12-07,75,82.57
P0001,2025-12-08,68,82.43
P0001,2025-12-09,80,82.43
P0001,2025-12-10,96,85.0
P0001,2025-12-11,64,83.29
P0001,2025-12-12,92,79.29
P0001,2025-12-13,88,80.43
P0001,2025-12-14,110,85.43
P0001,2025-12-15,73,86.14
P0001,2025-12-16,66,84.14
P0001,2025-12-17,92,83.57
P0001,2025-12-18,72,84.71
P0001,2025-12-19,82,83.29
P0001,2025-12-20,101,85.14
P0001,2025-12-21,95,83.0
P0001,2025-12-22,64,81.71
P0001,2025-12-23,73,82.71
P0001,2025-12-24,79,80.86
P0001,2025-12-25,76,81.43
P0001,2025-12-26,101,84.14
P0001,2025-12-27,95,83.29
P0001,2025-12-28,93,83.0
P0001,2025-12-29,85,86.0
P0001,2025-12-30,79,86.86
P0001,2025-12-31,63,84.57
P0001,2026-01-01,49,80.71
P0001,2026-01-02,60,74.86
P0001,2026-01-03,71,71.43
P0001,2026-01-04,58,66.43
P0001,2026-01-05,48,61.14
P0001,2026-01-06,44,56.14
P0001,2026-01-07,35,52.14
P0001,2026-01-08,40,50.86
P0001,2026-01-09,57,50.43
P0001,2026-01-10,49,47.29
P0001,2026-01-11,56,47.0
P0001,2026-01-12,36,45.29
P0001,2026-01-13,49,46.0
P0001,2026-01-14,52,48.43
P0001,2026-01-15,44,49.0
P0001,2026-01-16,40,46.57
P0001,2026-01-17,38,45.0
P0001,2026-01-18,66,46.43
P0001,2026-01-19,31,45.71
P0001,2026-01-20,55,46.57
P0001,2026-01-21,50,46.29
P0001,2026-01-22,37,45.29
P0001,2026-01-23,58,47.86
P0001,2026-01-24,46,49.0
P0001,2026-01-25,39,45.14
P0001,2026-01-26,41,46.57
P0001,2026-01-27,48,45.57
P0001,2026-01-28,38,43.86
P0001,2026-01-29,35,43.57
P0001,2026-01-30,68,45.0
P0001,2026-01-31,51,45.71
P0001,2026-02-01,40,45.86
P0001,2026-02-02,39,45.57
P0001,2026-02-03,39,44.29
P0001,2026-02-04,45,45.29
P0001,2026-02-05,38,45.71
P0001,2026-02-06,60,44.57
P0001,2026-02-07,59,45.71
P0001,2026-02-08,68,49.71
P0001,2026-02-09,34,49.0
P0001,2026-02-10,42,49.43
P0001,2026-02-11,45,49.43
P0001,2026-02-12,43,50.14
P0001,2026-02-13,39,47.14
P0001,2026-02-14,45,45.14
P0001,2026-02-15,56,43.43
P0001,2026-02-16,47,45.29
P0001,2026-02-17,32,43.86
P0001,2026-02-18,54,45.14
P0001,2026-02-19,47,45.71
P0001,2026-02-20,50,47.29
P0001,2026-02-21,58,49.14
P0001,2026-02-22,50,48.29
P0001,2026-02-23,34,46.43
P0001,2026-02-24,38,47.29
P0001,2026-02-25,41,45.43
P0001,2026-02-26,36,43.86
P0001,2026-02-27,60,45.29
P0001,2026-02-28,50,44.14
P0001,2026-03-01,44,43.29
P0001,2026-03-02,63,47.43
P0001,2026-03-03,46,48.57
P0001,2026-03-04,56,50.71
P0001,2026-03-05,44,51.86
P0001,2026-03-06,63,52.29
P0001,2026-03-07,63,54.14
P0001,2026-03-08,56,55.86
P0001,2026-03-09,65,56.14
P0001,2026-03-10,47,56.29
P0001,2026-03-11,46,54.86
P0001,2026-03-12,46,55.14
P0001,2026-03-13,54,53.86
P0001,2026-03-14,65,54.14
P0001,2026-03-15,64,55.29
P0001,2026-03-16,50,53.14
P0001,2026-03-17,41,52.29
P0001,2026-03-18,51,53.0
P0001,2026-03-19,49,53.43
P0001,2026-03-20,68,55.43
P0001,2026-03-21,48,53.0
P0001,2026-03-22,67,53.43
P0001,2026-03-23,51,53.57
P0001,2026-03-24,47,54.43
P0001,2026-03-25,57,55.29
P0001,2026-03-26,55,56.14
P0001,2026-03-27,60,55.0
P0001,2026-03-28,59,56.57
P0001,2026-03-29,60,55.57
P0001,2026-03-30,49,55.29
P0001,2026-03-31,52,56.0
P0001,2026-04-01,60,56.43
P0001,2026-04-02,53,56.14
P0001,2026-04-03,68,57.29
P0001,2026-04-04,55,56.71
P0001,2026-04-05,64,57.29
P0001,2026-04-06,56,58.29
P0001,2026-04-07,51,58.14
P0001,2026-04-08,52,57.0
P0001,2026-04-09,51,56.71
P0001,2026-04-10,61,55.71
P0001,2026-04-11,63,56.86
P0001,2026-04-12,69,57.57
P0001,2026-04-13,44,55.86
P0001,2026-04-14,55,56.43
P0001,2026-04-15,58,57.29
P0001,2026-04-16,42,56.0
P0001,2026-04-17,78,58.43
P0001,2026-04-18,58,57.71
P0001,2026-04-19,68,57.57
P0001,2026-04-20,57,59.43
P0001,2026-04-21,62,60.43
P0001,2026-04-22,56,60.14
P0001,2026-04-23,49,61.14
P0001,2026-04-24,59,58.43
P0001,2026-04-25,70,60.14
P0001,2026-04-26,61,59.14
P0001,2026-04-27,48,57.86
P0001,2026-04-28,42,55.0
P0001,2026-04-29,47,53.71
P0001,2026-04-30,46,53.29
P0001,2026-05-01,76,55.71
P0001,2026-05-02,60,54.29
P0001,2026-05-03,56,53.57
P0001,2026-05-04,47,53.43
P0001,2026-05-05,62,56.29
P0001,2026-05-06,58,57.86
P0001,2026-05-07,44,57.57
P0001,2026-05-08,61,55.43
P0001,2026-05-09,58,55.14
P0001,2026-05-10,68,56.86
P0001,2026-05-11,44,56.43
P0001,2026-05-12,43,53.71
P0001,2026-05-13,59,53.86
P0001,2026-05-14,62,56.43
P0001,2026-05-15,72,58.0
P0001,2026-05-16,60,58.29
P0001,2026-05-17,69,58.43
P0001,2026-05-18,55,60.0
P0001,2026-05-19,44,60.14
P0001,2026-05-20,57,59.86
P0001,2026-05-21,57,59.14
P0001,2026-05-22,69,58.71
P0001,2026-05-23,72,60.43
P0001,2026-05-24,64,59.71
P0001,2026-05-25,52,59.29
P0001,2026-05-26,42,59.0
P0001,2026-05-27,50,58.0
P0001,2026-05-28,60,58.43
P0001,2026-05-29,74,59.14
P0001,2026-05-30,54,56.57
P0001,2026-05-31,73,57.86
P0001,2026-06-01,51,57.71
P0001,2026-06-02,39,57.29
P0001,2026-06-03,54,57.86
P0001,2026-06-04,64,58.43
P0001,2026-06-05,53,55.43
P0001,2026-06-06,71,57.86
P0001,2026-06-07,63,56.43
P0001,2026-06-08,41,55.0
P0001,2026-06-09,46,56.0
P0001,2026-06-10,61,57.0
P0001,2026-06-11,55,55.71
P0001,2026-06-12,60,56.71
P0001,2026-06-13,67,56.14
P0001,2026-06-14,44,53.43
P0001,2026-06-15,46,54.14
P0001,2026-06-16,53,55.14
P0001,2026-06-17,49,53.43
P0001,2026-06-18,53,53.14
P0001,2026-06-19,60,53.14
P0001,2026-06-20,66,53.0
P0001,2026-06-21,57,54.86
P0001,2026-06-22,46,54.86
P0001,2026-06-23,53,54.86
P0001,2026-06-24,59,56.29
P0001,2026-06-25,42,54.71
P0001,2026-06-26,73,56.57
P0001,2026-06-27,50,54.29
P0001,2026-06-28,51,53.43
P0001,2026-06-29,55,54.71
P0001,2026-06-30,48,54.0
P0001,2026-07-01,50,52.71
P0001,2026-07-02,42,52.71
P0001,2026-07-03,60,50.86
P0001,2026-07-04,65,53.0
P0001,2026-07-05,65,55.0
P0001,2026-07-06,49,54.14
P0001,2026-07-07,41,53.14
P0001,2026-07-08,62,54.86
P0001,2026-07-09,50,56.0
P0001,2026-07-10,72,57.71
P0001,2026-07-11,66,57.86
P0001,2026-07-12,58,56.86
P0001,2026-07-13,41,55.71
P0001,2026-07-14,72,60.14
P0001,2026-07-15,41,57.14
P0001,2026-07-16,47,56.71
P0001,2026-07-17,48,53.29
P0001,2026-07-18,56,51.86
P0001,2026-07-19,77,54.57
P0001,2026-07-20,55,56.57
P0001,2026-07-21,53,53.86
P0001,2026-07-22,46,54.57
P0001,2026-07-23,55,55.71
P0001,2026-07-24,43,55.0
P0001,2026-07-25,71,57.14
P0002,2025-07-26,71,71.0
P0002,2025-07-27,84,77.5
P0002,2025-07-28,50,68.33
P0002,2025-07-29,61,66.5
P0002,2025-07-30,54,64.0
P0002,2025-07-31,62,63.67
P0002,2025-08-01,75,65.29
P0002,2025-08-02,76,66.0
P0002,2025-08-03,77,65.0
P0002,2025-08-04,68,67.57
P0002,2025-08-05,59,67.29
P0002,2025-08-06,66,69.0
P0002,2025-08-07,59,68.57
P0002,2025-08-08,58,66.14
P0002,2025-08-09,84,67.29
P0002,2025-08-10,78,67.43
P0002,2025-08-11,60,66.29
P0002,2025-08-12,62,66.71
P0002,2025-08-13,65,66.57
P0002,2025-08-14,59,66.57
P0002,2025-08-15,74,68.86
P0002,2025-08-16,84,68.86
P0002,2025-08-17,77,68.71
P0002,2025-08-18,61,68.86
P0002,2025-08-19,50,67.14
P0002,2025-08-20,62,66.71
P0002,2025-08-21,58,66.57
P0002,2025-08-22,71,66.14
P0002,2025-08-23,66,63.57
P0002,2025-08-24,87,65.0
P0002,2025-08-25,62,65.14
P0002,2025-08-26,57,66.14
P0002,2025-08-27,62,66.14
P0002,2025-08-28,73,68.29
P0002,2025-08-29,77,69.14
P0002,2025-08-30,68,69.43
P0002,2025-08-31,69,66.86
P0002,2025-09-01,71,68.14
P0002,2025-09-02,59,68.43
P0002,2025-09-03,61,68.29
P0002,2025-09-04,62,66.71
P0002,2025-09-05,86,68.0
P0002,2025-09-06,71,68.43
P0002,2025-09-07,93,71.86
P0002,2025-09-08,65,71.0
P0002,2025-09-09,62,71.43
P0002,2025-09-10,56,70.71
P0002,2025-09-11,63,70.86
P0002,2025-09-12,75,69.29
P0002,2025-09-13,71,69.29
P0002,2025-09-14,78,67.14
P0002,2025-09-15,68,67.57
P0002,2025-09-16,50,65.86
P0002,2025-09-17,65,67.14
P0002,2025-09-18,68,67.86
P0002,2025-09-19,73,67.57
P0002,2025-09-20,72,67.71
P0002,2025-09-21,86,68.86
P0002,2025-09-22,55,67.0
P0002,2025-09-23,67,69.43
P0002,2025-09-24,70,70.14
P0002,2025-09-25,56,68.43
P0002,2025-09-26,80,69.43
P0002,2025-09-27,68,68.86
P0002,2025-09-28,78,67.71
P0002,2025-09-29,64,69.0
P0002,2025-09-30,54,67.14
P0002,2025-10-01,54,64.86
P0002,2025-10-02,50,64.0
P0002,2025-10-03,74,63.14
P0002,2025-10-04,101,67.86
P0002,2025-10-05,78,67.86
P0002,2025-10-06,59,67.14
P0002,2025-10-07,57,67.57
P0002,2025-10-08,71,70.0
P0002,2025-10-09,62,71.71
P0002,2025-10-10,90,74.0
P0002,2025-10-11,84,71.57
P0002,2025-10-12,69,70.29
P0002,2025-10-13,66,71.29
P0002,2025-10-14,58,71.43
P0002,2025-10-15,73,71.71
P0002,2025-10-16,70,72.86
P0002,2025-10-17,88,72.57
P0002,2025-10-18,80,72.0
P0002,2025-10-19,73,72.57
P0002,2025-10-20,51,70.43
P0002,2025-10-21,51,69.43
P0002,2025-10-22,65,68.29
P0002,2025-10-23,66,67.71
P0002,2025-10-24,58,63.43
P0002,2025-10-25,93,65.29
P0002,2025-10-26,63,63.86
P0002,2025-10-27,51,63.86
P0002,2025-10-28,67,66.14
P0002,2025-10-29,62,65.71
P0002,2025-10-30,55,64.14
P0002,2025-10-31,70,65.86
P0002,2025-11-01,120,69.71
P0002,2025-11-02,120,77.86
P0002,2025-11-03,114,86.86
P0002,2025-11-04,106,92.43
P0002,2025-11-05,88,96.14
P0002,2025-11-06,89,101.0
P0002,2025-11-07,113,107.14
P0002,2025-11-08,104,104.86
P0002,2025-11-09,120,104.86
P0002,2025-11-10,88,101.14
P0002,2025-11-11,79,97.29
P0002,2025-11-12,94,98.14
P0002,2025-11-13,98,99.43
P0002,2025-11-14,127,101.43
P0002,2025-11-15,115,103.0
P0002,2025-11-16,118,102.71
P0002,2025-11-17,85,102.29
P0002,2025-11-18,87,103.43
P0002,2025-11-19,86,102.29
P0002,2025-11-20,80,99.71
P0002,2025-11-21,120,98.71
P0002,2025-11-22,127,100.43
P0002,2025-11-23,105,98.57
P0002,2025-11-24,80,97.86
P0002,2025-11-25,91,98.43
P0002,2025-11-26,88,98.71
P0002,2025-11-27,87,99.71
P0002,2025-11-28,112,98.57
P0002,2025-11-29,103,95.14
P0002,2025-11-30,108,95.57
P0002,2025-12-01,93,97.43
P0002,2025-12-02,88,97.0
P0002,2025-12-03,80,95.86
P0002,2025-12-04,104,98.29
P0002,2025-12-05,84,94.29
P0002,2025-12-06,132,98.43
P0002,2025-12-07,105,98.0
P0002,2025-12-08,90,97.57
P0002,2025-12-09,100,99.29
P0002,2025-12-10,89,100.57
P0002,2025-12-11,87,98.14
P0002,2025-12-12,132,105.0
P0002,2025-12-13,96,99.86
P0002,2025-12-14,92,98.0
P0002,2025-12-15,88,97.71
P0002,2025-12-16,73,93.86
P0002,2025-12-17,85,93.29
P0002,2025-12-18,94,94.29
P0002,2025-12-19,120,92.57
P0002,2025-12-20,111,94.71
P0002,2025-12-21,119,98.57
P0002,2025-12-22,86,98.29
P0002,2025-12-23,78,99.0
P0002,2025-12-24,75,97.57
P0002,2025-12-25,87,96.57
P0002,2025-12-26,139,99.29
P0002,2025-12-27,100,97.71
P0002,2025-12-28,117,97.43
P0002,2025-12-29,74,95.71
P0002,2025-12-30,83,96.43
P0002,2025-12-31,90,98.57
P0002,2026-01-01,53,93.71
P0002,2026-01-02,66,83.29
P0002,2026-01-03,71,79.14
P0002,2026-01-04,60,71.0
P0002,2026-01-05,57,68.57
P0002,2026-01-06,37,62.0
P0002,2026-01-07,60,57.71
P0002,2026-01-08,53,57.71
P0002,2026-01-09,74,58.86
P0002,2026-01-10,61,57.43
P0002,2026-01-11,78,60.0
P0002,2026-01-12,59,60.29
P0002,2026-01-13,50,62.14
P0002,2026-01-14,56,61.57
P0002,2026-01-15,53,61.57
P0002,2026-01-16,56,59.0
P0002,2026-01-17,50,57.43
P0002,2026-01-18,50,53.43
P0002,2026-01-19,41,50.86
P0002,2026-01-20,58,52.0
P0002,2026-01-21,69,53.86
P0002,2026-01-22,49,53.29
P0002,2026-01-23,65,54.57
P0002,2026-01-24,61,56.14
P0002,2026-01-25,65,58.29
P0002,2026-01-26,55,60.29
P0002,2026-01-27,67,61.57
P0002,2026-01-28,46,58.29
P0002,2026-01-29,52,58.71
P0002,2026-01-30,66,58.86
P0002,2026-01-31,69,60.0
P0002,2026-02-01,65,60.0
P0002,2026-02-02,55,60.0
P0002,2026-02-03,53,58.0
P0002,2026-02-04,52,58.86
P0002,2026-02-05,46,58.0
P0002,2026-02-06,54,56.29
P0002,2026-02-07,56,54.43
P0002,2026-02-08,60,53.71
P0002,2026-02-09,51,53.14
P0002,2026-02-10,48,52.43
P0002,2026-02-11,61,53.71
P0002,2026-02-12,58,55.43
P0002,2026-02-13,64,56.86
P0002,2026-02-14,68,58.57
P0002,2026-02-15,62,58.86
P0002,2026-02-16,42,57.57
P0002,2026-02-17,59,59.14
P0002,2026-02-18,62,59.29
P0002,2026-02-19,45,57.43
P0002,2026-02-20,63,57.29
P0002,2026-02-21,59,56.0
P0002,2026-02-22,59,55.57
P0002,2026-02-23,55,57.43
P0002,2026-02-24,51,56.29
P0002,2026-02-25,56,55.43
P0002,2026-02-26,47,55.71
P0002,2026-02-27,56,54.71
P0002,2026-02-28,59,54.71
P0002,2026-03-01,69,56.14
P0002,2026-03-02,60,56.86
P0002,2026-03-03,54,57.29
P0002,2026-03-04,79,60.57
P0002,2026-03-05,62,62.71
P0002,2026-03-06,74,65.29
P0002,2026-03-07,85,69.0
P0002,2026-03-08,88,71.71
P0002,2026-03-09,57,71.29
P0002,2026-03-10,47,70.29
P0002,2026-03-11,68,68.71
P0002,2026-03-12,77,70.86
P0002,2026-03-13,84,72.29
P0002,2026-03-14,85,72.29
P0002,2026-03-15,77,70.71
P0002,2026-03-16,54,70.29
P0002,2026-03-17,68,73.29
P0002,2026-03-18,56,71.57
P0002,2026-03-19,67,70.14
P0002,2026-03-20,86,70.43
P0002,2026-03-21,85,70.43
P0002,2026-03-22,80,70.86
P0002,2026-03-23,54,70.86
P0002,2026-03-24,60,69.71
P0002,2026-03-25,66,71.14
P0002,2026-03-26,59,70.0
P0002,2026-03-27,80,69.14
P0002,2026-03-28,85,69.14
P0002,2026-03-29,65,67.0
P0002,2026-03-30,63,68.29
P0002,2026-03-31,51,67.0
P0002,2026-04-01,57,65.71
P0002,2026-04-02,52,64.71
P0002,2026-04-03,65,62.57
P0002,2026-04-04,69,60.29
P0002,2026-04-05,78,62.14
P0002,2026-04-06,60,61.71
P0002,2026-04-07,64,63.57
P0002,2026-04-08,62,64.29
P0002,2026-04-09,62,65.71
P0002,2026-04-10,73,66.86
P0002,2026-04-11,79,68.29
P0002,2026-04-12,73,67.57
P0002,2026-04-13,60,67.57
P0002,2026-04-14,43,64.57
P0002,2026-04-15,51,63.0
P0002,2026-04-16,50,61.29
P0002,2026-04-17,87,63.29
P0002,2026-04-18,80,63.43
P0002,2026-04-19,88,65.57
P0002,2026-04-20,53,64.57
P0002,2026-04-21,51,65.71
P0002,2026-04-22,53,66.0
P0002,2026-04-23,62,67.71
P0002,2026-04-24,78,66.43
P0002,2026-04-25,79,66.29
P0002,2026-04-26,70,63.71
P0002,2026-04-27,47,62.86
P0002,2026-04-28,67,65.14
P0002,2026-04-29,64,66.71
P0002,2026-04-30,38,63.29
P0002,2026-05-01,61,60.86
P0002,2026-05-02,90,62.43
P0002,2026-05-03,60,61.0
P0002,2026-05-04,72,64.57
P0002,2026-05-05,59,63.43
P0002,2026-05-06,57,62.43
P0002,2026-05-07,57,65.14
P0002,2026-05-08,87,68.86
P0002,2026-05-09,78,67.14
P0002,2026-05-10,87,71.0
P0002,2026-05-11,72,71.0
P0002,2026-05-12,66,72.0
P0002,2026-05-13,51,71.14
P0002,2026-05-14,63,72.0
P0002,2026-05-15,76,70.43
P0002,2026-05-16,80,70.71
P0002,2026-05-17,84,70.29
P0002,2026-05-18,72,70.29
P0002,2026-05-19,64,70.0
P0002,2026-05-20,74,73.29
P0002,2026-05-21,58,72.57
P0002,2026-05-22,82,73.43
P0002,2026-05-23,66,71.43
P0002,2026-05-24,85,71.57
P0002,2026-05-25,61,70.0
P0002,2026-05-26,59,69.29
P0002,2026-05-27,61,67.43
P0002,2026-05-28,53,66.71
P0002,2026-05-29,66,64.43
P0002,2026-05-30,69,64.86
P0002,2026-05-31,75,63.43
P0002,2026-06-01,67,64.29
P0002,2026-06-02,62,64.71
P0002,2026-06-03,56,64.0
P0002,2026-06-04,61,65.14
P0002,2026-06-05,67,65.29
P0002,2026-06-06,73,65.86
P0002,2026-06-07,69,65.0
P0002,2026-06-08,65,64.71
P0002,2026-06-09,54,63.57
P0002,2026-06-10,63,64.57
P0002,2026-06-11,65,65.14
P0002,2026-06-12,81,67.14
P0002,2026-06-13,64,65.86
P0002,2026-06-14,78,67.14
P0002,2026-06-15,62,66.71
P0002,2026-06-16,65,68.29
P0002,2026-06-17,48,66.14
P0002,2026-06-18,50,64.0
P0002,2026-06-19,68,62.14
P0002,2026-06-20,65,62.29
P0002,2026-06-21,72,61.43
P0002,2026-06-22,53,60.14
P0002,2026-06-23,67,60.43
P0002,2026-06-24,53,61.14
P0002,2026-06-25,71,64.14
P0002,2026-06-26,78,65.57
P0002,2026-06-27,64,65.43
P0002,2026-06-28,80,66.57
P0002,2026-06-29,56,67.0
P0002,2026-06-30,72,67.71
P0002,2026-07-01,70,70.14
P0002,2026-07-02,66,69.43
P0002,2026-07-03,74,68.86
P0002,2026-07-04,73,70.14
P0002,2026-07-05,75,69.43
P0002,2026-07-06,54,69.14
P0002,2026-07-07,51,66.14
P0002,2026-07-08,57,64.29
P0002,2026-07-09,63,63.86
P0002,2026-07-10,78,64.43
P0002,2026-07-11,75,64.71
P0002,2026-07-12,64,63.14
P0002,2026-07-13,57,63.57
P0002,2026-07-14,77,67.29
P0002,2026-07-15,68,68.86
P0002,2026-07-16,46,66.43
P0002,2026-07-17,88,67.86
P0002,2026-07-18,61,65.86
P0002,2026-07-19,68,66.43
P0002,2026-07-20,72,68.57
P0002,2026-07-21,68,67.29
P0002,2026-07-22,74,68.14
P0002,2026-07-23,63,70.57
P0002,2026-07-24,89,70.71
P0002,2026-07-25,62,70.86
P0003,2025-07-26,18,18.0
P0003,2025-07-27,25,21.5
P0003,2025-07-28,24,22.33
P0003,2025-07-29,10,19.25
P0003,2025-07-30,19,19.2
P0003,2025-07-31,13,18.17
P0003,2025-08-01,21,18.57
P0003,2025-08-02,21,19.0
P0003,2025-08-03,25,19.0
P0003,2025-08-04,13,17.43
P0003,2025-08-05,19,18.71
P0003,2025-08-06,14,18.0
P0003,2025-08-07,14,18.14
P0003,2025-08-08,15,17.29
P0003,2025-08-09,15,16.43
P0003,2025-08-10,19,15.57
P0003,2025-08-11,11,15.29
P0003,2025-08-12,13,14.43
P0003,2025-08-13,12,14.14
P0003,2025-08-14,17,14.57
P0003,2025-08-15,26,16.14
P0003,2025-08-16,14,16.0
P0003,2025-08-17,24,16.71
P0003,2025-08-18,16,17.43
P0003,2025-08-19,17,18.0
P0003,2025-08-20,12,18.0
P0003,2025-08-21,18,18.14
P0003,2025-08-22,20,17.29
P0003,2025-08-23,20,18.14
P0003,2025-08-24,15,16.86
P0003,2025-08-25,12,16.29
P0003,2025-08-26,13,15.71
P0003,2025-08-27,17,16.43
P0003,2025-08-28,17,16.29
P0003,2025-08-29,25,17.0
P0003,2025-08-30,27,18.0
P0003,2025-08-31,12,17.57
P0003,2025-09-01,22,19.0
P0003,2025-09-02,13,19.0
P0003,2025-09-03,15,18.71
P0003,2025-09-04,12,18.0
P0003,2025-09-05,14,16.43
P0003,2025-09-06,22,15.71
P0003,2025-09-07,19,16.71
P0003,2025-09-08,18,16.14
P0003,2025-09-09,22,17.43
P0003,2025-09-10,24,18.71
P0003,2025-09-11,15,19.14
P0003,2025-09-12,16,19.43
P0003,2025-09-13,24,19.71
P0003,2025-09-14,23,20.29
P0003,2025-09-15,17,20.14
P0003,2025-09-16,20,19.86
P0003,2025-09-17,25,20.0
P0003,2025-09-18,19,20.57
P0003,2025-09-19,20,21.14
P0003,2025-09-20,18,20.29
P0003,2025-09-21,20,19.86
P0003,2025-09-22,15,19.57
P0003,2025-09-23,16,19.0
P0003,2025-09-24,13,17.29
P0003,2025-09-25,19,17.29
P0003,2025-09-26,14,16.43
P0003,2025-09-27,16,16.14
P0003,2025-09-28,23,16.57
P0003,2025-09-29,13,16.29
P0003,2025-09-30,16,16.29
P0003,2025-10-01,12,16.14
P0003,2025-10-02,18,16.0
P0003,2025-10-03,22,17.14
P0003,2025-10-04,10,16.29
P0003,2025-10-05,21,16.0
P0003,2025-10-06,18,16.71
P0003,2025-10-07,25,18.0
P0003,2025-10-08,12,18.0
P0003,2025-10-09,18,18.0
P0003,2025-10-10,12,16.57
P0003,2025-10-11,25,18.71
P0003,2025-10-12,20,18.57
P0003,2025-10-13,21,19.0
P0003,2025-10-14,12,17.14
P0003,2025-10-15,19,18.14
P0003,2025-10-16,20,18.43
P0003,2025-10-17,22,19.86
P0003,2025-10-18,22,19.43
P0003,2025-10-19,26,20.29
P0003,2025-10-20,19,20.0
P0003,2025-10-21,9,19.57
P0003,2025-10-22,15,19.0
P0003,2025-10-23,14,18.14
P0003,2025-10-24,18,17.57
